City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Vila Franca Do Campo,PT,2021-03-14 22:50:10,37.7167,-25.4333,60.8,100,75,10.36
164,Bud,US,2021-03-14 22:47:45,39.447,-86.1758,53.01,58,100,7.54
165,Sabha,LY,2021-03-14 22:50:11,27.0377,14.4283,62.44,45,0,18.1
166,Yellowknife,CA,2021-03-14 22:50:11,62.456,-114.3525,12.99,73,90,5.75
167,Tlaltenango,MX,2021-03-14 22:46:48,19.1667,-98.3333,78.8,24,20,12.66
168,Shirokiy,RU,2021-03-14 22:50:12,49.758,129.523,33.49,78,75,22.06
169,Lebu,CL,2021-03-14 22:50:12,-37.6167,-73.65,58.75,84,0,4.29
170,Gazanjyk,TM,2021-03-14 22:50:12,39.2446,55.5154,19.56,93,31,9.51
171,Izalco,SV,2021-03-14 22:49:08,13.7447,-89.6731,91.4,31,20,8.05
172,Verkhoyansk,RU,2021-03-14 22:50:13,67.5447,133.385,-5.4,81,100,4.23
173,Lasa,IT,2021-03-14 22:50:13,46.6166,10.7002,44.6,36,0,5.75
174,Meru,KE,2021-03-14 22:50:14,0.0463,37.6559,64.22,71,66,2.57
175,Denpasar,ID,2021-03-14 22:49:58,-8.65,115.2167,75.2,94,20,3.44
176,Dehloran,IR,2021-03-14 22:50:14,32.6941,47.2679,60.55,57,36,0.85
177,Disraeli,CA,2021-03-14 22:50:15,45.9001,-71.3491,16.0,61,100,11.01
178,Todos Santos,MX,2021-03-14 22:46:09,23.45,-110.2167,80.01,39,0,13.0
179,Tabou,CI,2021-03-14 22:47:14,4.423,-7.3528,78.39,87,73,8.72
180,Male,MV,2021-03-14 22:50:16,4.1748,73.5089,78.8,94,75,4.61
181,Klaksvik,FO,2021-03-14 22:50:16,62.2266,-6.589,39.2,93,75,6.91
182,Hami,CN,2021-03-14 22:50:16,42.8,93.45,46.85,44,100,11.92
